week,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,projected_home,projected_away
,23,Never Ever Getting Dak Together,20,Dawg Pound,125.5,118.6,125.5,127.41
,16,Ceedee Ball Catch D'Ball,21,OJ's Parole Board,100.0,91.5,100.0,111.68
,2,Lockout Lockdown,9,Shelley Duvall,90.3,125.5,102.6,138.14
,19,Annexation of Puerto Rico,22,Cookin with Bijan,107.5,92.4,107.5,92.4
,5,Enter Touchdown,6,Prime Tymaz,88.9,62.4,102.37,83.06
,13,Vita Vea Vegamine,8,Team Newbie,109.9,106.2,130.13,106.2
